run_id,predicted_variable,predicted_variable_node_type,frac_outliers,frac_outliers_filtered,frac_filtered_true,frac_augmented_true,avg_weight_aug_in_train_true,avg_weight_aug_NOT_in_train_true,SUM_aug_weights_true,frac_filtered_wrong,frac_augmented_wrong,avg_weight_aug_in_train_wrong,avg_weight_aug_NOT_in_train_wrong,SUM_aug_weights_wrong,MAPE_CausalDA_true,MAPE_CausalDA_wrong,MAPE_Baseline,r2_CausalDA_true,r2_CausalDA_wrong,r2_Baseline,n_estimators_CausalDA_true,n_estimators_CausalDA_wrong,n_estimators_Baseline,reg_lambda_CausalDA_true,reg_lambda_CausalDA_wrong,reg_lambda_Baseline,KL_div_train_vs_aug_weighted_true,KL_div_train_vs_aug_weighted_wrong,KL_div_aug_true_vs_aug_weighted_wrong,Wasserstein_dist_train_vs_aug_weighted_true,Wasserstein_dist_train_vs_aug_weighted_wrong,Wasserstein_dist_aug_true_vs_aug_weighted_wrong,variance_train_NOT_weighted,variance_aug_weighted_true,variance_aug_weighted_wrong
0,V0,source_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.3859821039165079,,,0.9923529830259926,,,50,,,1,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
0,V1,source_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.4156070967657574,,,0.9906982019869276,,,200,,,1,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
0,V2,middle_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.2973236099675548,,,0.9907253591893156,,,50,,,1,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
0,V3,middle_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.1938564022756443,,,0.9937659436348538,,,200,,,1,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
0,V4,middle_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.8074623597891374,,,0.9861182888253924,,,50,,,10,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
0,V5,middle_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.4886857877251029,,,0.9863030888273217,,,50,,,1,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
0,V6,sink_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.7765593542806497,,,0.9299432368036344,,,200,,,10,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
0,V7,middle_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.1880189717887651,,,0.9892907460966174,,,200,,,1,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
0,V8,source_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.3823208885713054,,,0.99049181361126,,,200,,,1,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
0,V9,middle_node,0.01,1.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,,,0.4307165290319472,,,0.9862343719336184,,,200,,,1,,,,,,,"[0.99875778 0.99917406 0.99917289 1.00908776 1.00159487 1.00092561
 0.9475185  0.97039996 1.01363936 0.96678122]",[nan nan nan nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan nan nan nan]
