run_id,mechanism,nb_nodes,expected_degree,size_longest_path_in_graph,noise_coeff,nb_observations,predicted_variable,predicted_variable_node_type,weight_threshold,frac_filtered,frac_augmented,avg_weight_aug_in_train,avg_weight_aug_NOT_in_train,sum_weight_aug_in_train,sum_weight_aug_NOT_in_train,SUM_aug_weights,MAPE_CausalDA,MAPE_Baseline,r2_CausalDA,r2_Baseline,n_estimators_CausalDA,n_estimators_Baseline,reg_lambda_CausalDA,reg_lambda_Baseline,KL_div_train_vs_aug_NOT_weighted,KL_div_train_vs_aug_weighted,Wasserstein_dist_train_vs_aug_NOT_weighted,Wasserstein_dist_train_vs_aug_weighted,variance_train_NOT_weighted,variance_aug_NOT_weighted,variance_aug_weighted
0,nn,10,3,8,0.1,500,V0,middle_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,0.1276251527910876,0.1539675041685785,0.9967812947324064,0.9959994250676348,200.0,50,1.0,1,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
0,nn,10,3,8,0.1,500,V1,middle_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,0.2434813010924852,0.2702787813431673,0.996172462577122,0.9963074354961844,200.0,200,1.0,1,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
0,nn,10,3,8,0.1,500,V2,middle_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,0.1799997478633482,0.7023013108709464,0.9924954489115114,0.992713927618475,200.0,200,1.0,1,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
0,nn,10,3,8,0.1,500,V3,source_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,0.0964855741294989,0.099062475008672,0.9952206889645367,0.9955919321875508,200.0,200,1.0,1,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
0,nn,10,3,8,0.1,500,V4,middle_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,0.4088919977797196,0.4293437592642269,0.9862223507441444,0.9849315020364116,50.0,200,1.0,1,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
0,nn,10,3,8,0.1,500,V5,sink_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,0.4291376006543764,0.8843821657688896,0.9822481853904708,0.9845300026625136,200.0,200,10.0,100,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
0,nn,10,3,8,0.1,500,V6,middle_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,0.1782947407890125,0.2036596153473152,0.9938700727496644,0.9926569538734756,200.0,200,10.0,1,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
0,nn,10,3,8,0.1,500,V7,sink_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,0.4290149530415087,0.3953065124030356,0.9809716412070508,0.9829205740305365,200.0,200,1.0,1,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
0,nn,10,3,8,0.1,500,V8,middle_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,0.7770630259709929,0.6100036745981583,0.9880684172213402,0.9908744583409788,200.0,200,100.0,100,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
0,nn,10,3,8,0.1,500,V9,middle_node,0.01,0.0,0.1828571428571428,0.002723679693826,0.0007260983923168,0.953287892839106,0.046470297108279,0.9997581899473847,2.386414936792681,2.534460555362415,0.996250619573262,0.9965025737482568,200.0,200,1.0,1,8.618241136329572e-05,4.7555674665271835e-07,0.1042308317050918,0.0978465328050425,"[1.00154403 0.98982025 0.98696189 0.99376217 1.03697039 1.01516777
 1.03316573 1.04498542 1.02297444 0.98435215]","[0.95128242 0.94593204 0.94688982 0.93493957 1.06792807 0.97283201
 0.99799746 1.02741262 0.99611396 0.93767072]","[1.00168085 0.98998473 0.98704323 0.99386065 1.03845601 1.01532974
 1.03368664 1.04553194 1.0235131  0.98446034]"
