run_id,mechanism,nb_nodes,expected_degree,size_longest_path_in_graph,noise_coeff,nb_observations,predicted_variable,predicted_variable_node_type,weight_threshold,frac_filtered,frac_augmented,avg_weight_aug_in_train,avg_weight_aug_NOT_in_train,sum_weight_aug_in_train,sum_weight_aug_NOT_in_train,SUM_aug_weights,MAPE_CausalDA,MAPE_Baseline,r2_CausalDA,r2_Baseline,n_estimators_CausalDA,n_estimators_Baseline,reg_lambda_CausalDA,reg_lambda_Baseline,KL_div_train_vs_aug_NOT_weighted,KL_div_train_vs_aug_weighted,Wasserstein_dist_train_vs_aug_NOT_weighted,Wasserstein_dist_train_vs_aug_weighted,variance_train_NOT_weighted,variance_aug_NOT_weighted,variance_aug_weighted
0,nn,10,3,5,0.4,30,V0,middle_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,0.4931752865484926,0.4579804001867441,0.9644748520387484,0.9664302053809272,50.0,50,10.0,10,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
0,nn,10,3,5,0.4,30,V1,middle_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,0.7574317697518864,0.7626199265503815,0.9721023106521918,0.9713569990097036,200.0,200,1.0,1,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
0,nn,10,3,5,0.4,30,V2,middle_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,0.9585463416887092,0.9625803958573652,0.9535076901684244,0.9557830718674276,10.0,200,1.0,10,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
0,nn,10,3,5,0.4,30,V3,sink_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,2.210529214539273,2.315132807059915,0.9633257861278964,0.960958920144396,50.0,200,10.0,10,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
0,nn,10,3,5,0.4,30,V4,middle_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,1.8867669131035485,1.9020179188940345,0.9191893833396516,0.9184280305948442,50.0,50,10.0,10,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
0,nn,10,3,5,0.4,30,V5,middle_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,0.4362210088244288,0.4004809616974613,0.975023701130584,0.9784519851348074,50.0,200,1.0,1,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
0,nn,10,3,5,0.4,30,V6,sink_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,1.179527882950702,1.1377070959432118,0.3374627576214256,0.4217696362541414,200.0,200,100.0,100,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
0,nn,10,3,5,0.4,30,V7,middle_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,0.2907966817396785,0.2724367124053067,0.9377985659336248,0.9418076198453714,10.0,50,1.0,10,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
0,nn,10,3,5,0.4,30,V8,middle_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,2.1720421426091003,2.1608497972909624,0.9377476114217744,0.9385114271740984,50.0,50,1.0,1,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
0,nn,10,3,5,0.4,30,V9,source_node,0.01,0.0,0.0,0.0469662672832389,,0.9862916129480184,0.0,0.9862916129480184,1.3284402351028193,1.3341069300650412,0.9623242387902928,0.9615202723962852,200.0,50,1.0,10,0.0,3.8688064180410924e-06,0.0,0.0175547141731361,"[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[1.00323938 1.00569983 0.97402461 1.03041192 0.9950881  1.02631034
 0.83265844 0.97712421 1.00233718 1.00313211]","[0.99808383 0.99575792 0.96758641 1.0259008  0.9816082  1.01894305
 0.83046383 0.96320565 0.99697232 0.99491299]"
